Run One (Where I forgot to save ckpt)
step 19067 | loss: 2.983893 | lr 6.0000e-05 | norm 0.32 | dt: 2859.77ms | tk/sec 183332.36
step 19068 | loss: 3.118226 | lr 6.0000e-05 | norm 0.38 | dt: 2840.35ms | tk/sec 184586.00
step 19069 | loss: 3.076343 | lr 6.0000e-05 | norm 0.30 | dt: 2851.02ms | tk/sec 183894.74
step 19070 | loss: 3.121124 | lr 6.0000e-05 | norm 0.34 | dt: 2850.33ms | tk/sec 183939.50
step 19071 | loss: 3.145897 | lr 6.0000e-05 | norm 0.33 | dt: 2041.68ms | tk/sec 256792.76
step 19072 | loss: 3.093367 | lr 6.0000e-05 | norm 0.31 | dt: 2795.59ms | tk/sec 187541.05

Working Run
step 19061 | loss: 2.958704 | lr 6.0001e-05 | norm 0.32 | dt: 2990.17ms | tk/sec 175337.33
step 19062 | loss: 2.968165 | lr 6.0000e-05 | norm 0.30 | dt: 2991.57ms | tk/sec 175255.25
step 19063 | loss: 3.005839 | lr 6.0000e-05 | norm 0.31 | dt: 3068.25ms | tk/sec 170875.48
step 19064 | loss: 2.976827 | lr 6.0000e-05 | norm 0.29 | dt: 3076.34ms | tk/sec 170426.03
step 19065 | loss: 3.001650 | lr 6.0000e-05 | norm 0.30 | dt: 3091.76ms | tk/sec 169576.03
step 19066 | loss: 2.985230 | lr 6.0000e-05 | norm 0.29 | dt: 2993.42ms | tk/sec 175146.97
step 19067 | loss: 2.984540 | lr 6.0000e-05 | norm 0.31 | dt: 2994.73ms | tk/sec 175070.22
step 19068 | loss: 3.118638 | lr 6.0000e-05 | norm 0.37 | dt: 2996.55ms | tk/sec 174964.11
step 19069 | loss: 3.079002 | lr 6.0000e-05 | norm 0.29 | dt: 675.42ms | tk/sec 776235.53
step 19070 | loss: 3.121202 | lr 6.0000e-05 | norm 0.31 | dt: 2972.44ms | tk/sec 176383.21
step 19071 | loss: 3.145843 | lr 6.0000e-05 | norm 0.32 | dt: 2982.44ms | tk/sec 175791.54
validation loss: 3.0556
step 19072 | loss: 3.093749 | lr 6.0000e-05 | norm 0.29 | dt: 4773.89ms | tk/sec 109824.03
